name,whiteSpaceArea,graphicSpread,graphicDistance,graphicSize,graphicSizeVar,graphicSizeMin,groupSizeVar,groupDistanceMin,graphicXSymmetry,graphicXAsymmetry,graphicYSymmetry,graphicYAsymmetry,textXsymmetry,textXAsymmetry,textYsymmetry,textYAsymmetry
2178_1,0.7625181010593914,1.0010621463984584,21.0,0.04501727904405336,0.7128129793489665,0.3330363979281613,0.01500575968135112,452.27895471662504,-0.7516639711873394,-1.3130620570376732,-0.6822921859628662,-1.286556732049998,-0.9649655543292505,-1.3957255074599206,0.0,-1.0
107_2,0.5546692621536347,1.0010621587250252,16.657842846019765,0.030902747671431086,0.6174651927758585,0.45765985883139143,0.010300915890477028,784.545116147178,-0.518979634285369,-1.2237441439159256,-0.7558426963466441,-1.3146602033200543,0.0,-1.0,-0.1396109352924752,-1.0663697108994483
1932_2,0.6893064276595309,1.0010621350899493,18.0,0.04161453775971937,0.717164623608394,0.32676938993295707,0.013871512586573124,337.9826896818698,-0.8006082974467469,-1.331809270625279,-0.5348517052940419,-1.2299089502956426,-0.9133223612804025,-1.375416226204403,0.0,-1.0
406_2,0.5620302185403679,1.001062158747508,13.865100472182425,0.040496580823701694,0.7170458814965043,0.2666908908658062,0.013498860274567231,601.7039660927389,-0.6515548880533449,-1.274806747147041,-0.5960971583488325,-1.2535474926208392,0.0,-1.0,-0.6689178792355489,-1.2814458614453859
526_2,0.4590860724426456,1.0010621584803725,8.01733953651312,0.02153735487794157,0.47182742151047874,0.5614838704527132,0.007179118292647189,659.5887782031123,-0.6213208447832508,-1.2632293982319551,-0.6404460736288367,-1.2705557881315837,-0.5552540712173306,-1.2378077938644256,-0.1396109352924752,-1.0663697108994483
1359_2,0.7278456772707073,1.0010621308895145,0.23067893805071873,0.09345655856609643,0.8679299639139889,0.05324511327558,0.03115218618869881,164.9309132895108,-0.7523771245188738,-1.31333477716878,-0.7243746578759496,-1.3026320749290554,0.0,-1.0,0.0,-1.0
2116_2,0.6302052481883487,1.0010621367701313,18.708787185113987,0.02726101918166793,0.6328200421288045,0.5976144973984607,0.00908700639388931,416.378048224954,-0.7348012560608834,-1.3066159861809148,-0.45582590942505236,-1.1990068857107377,-0.7511549600676888,-1.3128674097156157,0.0,-1.0
30_1,0.7329139204754723,1.0010621565136766,27.0070354252513,0.028598112129773135,0.6096144482964815,0.7248158821645854,0.009532704043257711,791.760972591111,-0.8248953034397586,-1.3411434632221428,-0.7462892711326059,-1.3110069926616743,-0.2747220536825402,-1.1253455429368184,-0.1396109352924752,-1.0663697108994483
159_2,0.22833037124187797,1.0010621578512706,-0.0979825684273643,0.017706685445855817,0.4557503634894239,0.30195965417867443,0.005902228481951939,259.1856861535594,0.0,-1.0,-0.5591644123872719,-1.2393186820660365,0.0,-1.0,-0.1396109352924752,-1.0663697108994483
261_1,0.4509323426121548,1.001062148234899,23.919065425550283,0.016410207649157838,0.4810627097797394,0.7728484411841761,0.005470069216385946,488.19294637276204,-0.2679913855267806,-1.122504054159783,-0.6357879925770048,-1.2687723794891579,-0.3700023444134009,-1.1646998413150862,-0.6689178792355489,-1.2814458614453859
190_2,0.5228157815624038,1.0010621579146524,19.631139616361324,0.021344144241222204,0.5695017590946518,0.7045072957364652,0.007114714747074068,755.4139492096878,-0.5977561196438766,-1.2541850613604155,-0.44948922826474025,-1.1965037091585546,-0.7103147384429715,-1.2972611739966988,-0.6689178792355489,-1.2814458614453859
1262_1,0.7449405269521471,1.0010621530444843,4.494446508330237,0.18536997553504694,0.9163322998723387,0.0,0.06178999184501565,113.68084732068753,-0.8165072994973913,-1.3379167603084852,-0.7274540867026915,-1.3038085880220809,0.0,-1.0,0.0,-1.0
690_1,0.501086077640363,1.001062145162519,-0.04229726204986619,0.09705530135221288,0.8674950886700185,0.01221902017291062,0.03235176711740429,109.58748312608888,-0.4226953037871538,-1.185870357738454,-0.5472117669591264,-1.2346974232631378,0.0,-1.0,-0.7643139486030578,-1.3179011521471546
887_1,0.53238962433309,1.001062155726755,11.499729357534147,0.018779001604365547,0.5165708435061817,0.7400445375949698,0.006259667201455182,599.688019831157,-0.5309336092463605,-1.2283888366682916,-0.5977626038439313,-1.2541875531197728,-0.38006064375671944,-1.1687698526353656,-0.6689178792355489,-1.2814458614453859
